Model,RMSE,MAE,MAPE,R²,Directional_Accuracy_%
HAR-RV_Train,4.20936439243086,2.5674555461034947,3.637852060787651,0.9559295302056139,50.84932230241155
HAR-RV_Val,2.4805850345783176,1.8196802537913837,3.1555016524861914,0.9204971936747708,51.98313348267229
HAR-RV_Test,1.6702053333174367,1.2775786079307598,2.711392126458055,0.9649181742829771,50.210803689064555
