split,overall_r2,overall_rmse,overall_mae,overall_mape,overall_directional_accuracy,normal_r2,normal_rmse,normal_directional_accuracy,jump_r2,jump_rmse,jump_directional_accuracy,n_jumps
train,0.8132336735725403,8.332340240478516,5.636448860168457,8.26034927368164,91.79114642451759,0.8295035362243652,7.809566497802734,91.80318671454219,0.7545996904373169,10.258315086364746,91.38095238095238,4201
val,0.395458459854126,6.783154487609863,4.848263740539551,8.13496208190918,49.29145361577794,0.39745962619781494,6.804189682006836,49.80293801504837,0.3853825330734253,6.689375400543213,49.841521394611725,1263
test,0.8623881936073303,3.137021541595459,2.484910249710083,5.320881366729736,48.81682734443471,0.8644256591796875,3.1118829250335693,48.72070137770621,0.853347897529602,3.2464590072631836,54.060509554140125,1257
