Dataset,RMSE,MAE,MAPE,R²,Directional_Accuracy_%
Train,9.387346785471195,5.969121515880236,9.11341073759346,0.7931768577277163,50.00224124792685
Validation,6.925866148413779,5.0682782752433955,8.74425056494455,0.369615847617739,51.828940290478755
Test,3.0435659424360986,2.3886075408281986,5.071566277463894,0.880388456319707,52.7972027972028
