Model,R²,RMSE,MAE,MAPE,Dir%
Naive-Persistence,0.9970343308711525,0.4856127949193494,0.2556738242655776,0.5378326717293224,50.61923583662714
HAR-RV-Diff,0.997029054987837,0.4861310829670418,0.2576262366029106,0.5424901236595773,51.69960474308301
LSTM-Diff,0.9970275939958084,0.4857888279969308,0.2557073182700972,0.5380168330603029,51.72823218997361
Naive-Drift,0.9970245720918388,0.4864111132389049,0.2558345783951362,0.5381414649818906,50.61923583662714
Naive-MA5,0.9948939306159,0.6371946617930196,0.4028649716769859,0.8453831968778704,48.31357048748353
HAR-RV,0.9649181742829772,1.6702053333174367,1.2775786079307598,2.711392126458055,50.21080368906456
