Dataset,RMSE,MAE,MAPE,R²,Directional_Accuracy_%
Train,0.8652225884914673,0.4181988065141256,0.6554571973324781,0.9981392356391557,67.59454705364996
Validation,0.5352584212263506,0.30873404469080606,0.5305650304463022,0.9962980938571121,54.06332453825857
Test,0.48578882799693085,0.25570731827009724,0.5380168330603029,0.9970275939958083,51.72823218997361
