Model,R²,RMSE,MAE,MAPE,Dir%
Naive-Persistence,0.9970343308711525,0.4856127949193494,0.2556738242655776,0.5378326717293224,50.61923583662714
HAR-RV-Diff,0.997029054987837,0.4861310829670418,0.2576262366029106,0.5424901236595773,51.69960474308301
LSTM-Diff,0.9970275939958084,0.4857888279969308,0.2557073182700972,0.5380168330603029,51.72823218997361
Naive-MA5,0.9948939306159,0.6371946617930196,0.4028649716769859,0.8453831968778704,48.31357048748353
HAR-RV,0.9649181742829772,1.6702053333174367,1.2775786079307598,2.711392126458055,50.21080368906456
LSTM-Rolling,0.880388456319707,3.0435659424360986,2.3886075408281986,5.071566277463894,52.7972027972028
LSTM-Jump-Aware,0.8623881936073303,3.137021541595459,2.484910249710083,5.320881366729736,48.81682734443471
