Variable,Coefficient,Std_Error,t_stat,p_value,Significant
agg_volume_btc,-0.0002228276335438702,0.004972848854983342,-0.044808849020330145,0.9642623123836376,
transaction_volume,5.267010372460551e-12,3.099496086354581e-11,0.16993118318969244,0.865074402921058,
network_activity,-6.09263131758501e-05,5.801551404493029e-06,-10.501727715222092,0.0,***
nvrv,8.793082383417943,0.5767753331611314,15.2452469408248,0.0,***
dvol_rv_spread,-0.01033255794169344,0.0017599607215871697,-5.870902580357203,4.752314319844686e-09,***
